PointID,County,xcoord,ycoord,landusenum,Main_soil,Slope,CS_0_30,gS,mS,fS,gU,mU,fU,Sand,Silt,Clay,pH_H2O,EC_H2O,TC,TOC,TN,FSS,Water_cont,Stone_dens,BD_bulk,Rock_fragm
409,MV,664474.149,5955929.789,1,YK,N0,36.67,4,15.7,53.3,14.5,4.5,2.1,72.9,21,6.1,6.73,122.8,7.68,7.46,0.65,1145.7,9.3,2.65,1.25,4.339622642
410,MV,672948.3279,5955777.04,1,LL,N2,48.72,9.9,30.1,23.3,7.8,9.5,6.3,63.4,23.5,13.1,6.81,140.1,15.5,15.14,1.43,1084.7,12.98,2.65,1.23,6.184150943
413,MV,698245.9781,5953946.187,2,LLd,N3.2,22.63,4.8,31.1,48.7,6.9,3,1.6,84.6,11.6,3.8,5.77,57.8,7.02,7.02,0.78,1112,10.78,2.65,1.16,1.881509434
414,MV,703352.6118,5955800.545,1,LL,N2,36.73,6.5,22,35.7,15.4,8,3.6,64.2,27,8.8,6.56,136.4,11.71,11.71,1.08,1230.8,14.14,2.65,1.32,4.370566038
417,MV,728450.8118,5955506.148,1,LL,N2.2,56.06,5.2,17.4,33.3,16.9,11,5.8,55.8,33.7,10.5,5.44,119.7,19.35,19.35,1.66,1265.4,18.55,2.65,1.36,4.562264151
418,MV,737041.132,5953106.169,1,LL,N0.2,40.36,5.5,19.6,35.6,19.4,8.9,4.2,60.7,32.5,6.8,5.79,88.1,8.47,8.47,0.87,1335.1,14.85,2.65,1.44,3.759245283
419,MV,746163.9879,5958441.222,1,RZ,N3.1,43.63,4.4,17.7,35.9,12.8,10,4.5,57.9,27.4,14.7,7.73,205,13.69,11.09,1.21,1485.7,17.19,2.65,1.56,4.089811321
421,MV,760420.3926,5955303.615,1,LFd,N2,36.35,3.2,18.2,44.3,15.1,7.4,3.7,65.7,26.2,8.1,6.24,79.2,9.28,9.28,0.92,1267.6,7.48,2.65,1.28,0.538867925
422,MV,768633.6917,5959052.574,1,LF,N2.2,44.11,3.4,23.7,39.5,12.9,7.2,4.5,66.6,24.6,8.8,5.9,211,11.46,11.46,1.14,1209.8,13.17,2.65,1.33,5.249811321
423,MV,775952.6919,5955878.736,1,LL,N2.2,43.16,4.1,20.5,36.2,14.1,7.1,3.9,60.8,25.1,14.1,6.29,226,8.13,8.13,0.89,1752.9,12.43,2.65,1.8,1.47245283
426,MV,801617.8253,5954889.292,2,ZZ,N0,75.15,5,21.1,38.9,14.8,7.2,3.5,65,25.4,9.6,7.2,104.1,21.23,20.54,1.79,1405.2,22.53,2.65,1.4,0
427,MV,807536.392,5955177.312,1,LL,N0,40.75,4.8,27,45.8,9.9,4.3,2.1,77.6,16.3,6.1,7.13,176.6,10,9.78,0.85,1236.9,9.38,2.65,1.29,2.57509434
428,MV,816831.4204,5954658.787,2,KV,N0,391.44,0,0,0,0,0,0,0,0,0,5.79,259,409.33,409.33,31.52,337.4,142.38,2.65,0.34,0
429,MV,822942.1171,5958629.658,1,SS,N1,46.97,2.1,17,29.5,17.7,15.6,4,48.5,37.2,14.3,7.19,74.6,11.87,11.46,1.23,1126.5,27.51,2.65,1.22,5.021132075
430,MV,831485.2269,5956297.501,2,ZZ,N0,184.49,1.4,68,27.1,0.7,0.2,0,96.4,0.9,2.7,5.14,118.1,50.97,50.97,4.3,897.7,43.1,2.65,0.9,0.01509434
